Accepted_name,status,Native_L1,Native_L2,Native_L3,Native_L4,Established_L1,Established_L2,Established_L3,Established_L4,Invasive_L1,Invasive_L2,Invasive_L3,Invasive_L4
Acacia cyclops,invasive,5,50,"SOA,WAU,",",WAU-WA","5,2,1,3,7","50,21,12,34,20,27,28,76,35","VIC,CNY,SPA,PAL,MOR,NAM,POR,STH,ARI,CAL,6,CPP,TVL,AZO","VIC-OO,CNY-OO,SPA-SP,PAL-IS,MOR-MO,NAM-OO,POR-OO,STH-OO,ARI-OO,CAL-OO,000-07,CPP-EC,TVL-GA,CPP-NC,CPP-WC,AZO-OO","2,7,3,1","27,76,21,34,12,",",CAL,CNY,PAL,POR",",PAL-IS"
Acacia dealbata,invasive,5,50,"NSW,TAS,VIC,",",NSW-NS","2,5,8,3,1,4,7","26,50,85,36,83,21,12,41,40,13,38,27,29,51,20,76,73,82","ANG,SOA,WAU,CLC,JNF,CLS,CHS,CHC,CLM,CNY,SPA,COR,FRA,3,IND,WHM,ITA,SAR,4,LES,MDG,MOZ,NFK,5,MDR,POR,SWZ,TUN,TAI,URU,CAL,ORE,VEN,CPP,OFS,TVL,NAT,ZIM,REU,AZO,BOL,NZN,NZS","ANG-OO,SOA-OO,WAU-WA,CLC-BI,CLC-MA,CLC-LA,CLC-VA,JNF-OO,CLC-SA,CLS-LL,CHS-ZJ,CHS-FJ,CHS-GD,CHS-GX,CHC-SC,CHC-GZ,CHC-YN,CHS-HK,CLM-OO,CNY-OO,SPA-SP,COR-OO,FRA-FR,000-03,IND-GO,WHM-HP,IND-KE,IND-TN,WHM-UT,ITA-IT,SAR-OO,000-04,LES-OO,MDG-OO,MOZ-OO,NFK-NI,000-05,MDR-OO,POR-OO,SWZ-OO,TUN-OO,TAI-OO,URU-OO,CAL-OO,ORE-OO,VEN-OO,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,ZIM-OO,REU-OO,AZO-OO,BOL-OO,NZN-OO,NZS-OO","2,4,1,5,8,7","27,40,12,51,85,13,29",",IND,SRL,FRA,POR,ITA,LES,MDG,SPA",""
Acacia decurrens,invasive,5,50,"NSW,",",NSW-NS","2,5,8,1,4,7","26,50,83,12,29,51,42,27,76","ANG,NSW,QLD,SOA,TAS,VIC,WAU,CLM,SPA,MDG,5,PHI,POR,SWZ,CAL,CPP,OFS,TVL,NAT,ZIM,ECU,NZN,NZS","ANG-OO,NSW-NS,QLD-QU,SOA-OO,TAS-OO,VIC-OO,WAU-WA,CLM-OO,SPA-SP,MDG-OO,000-05,PHI-OO,POR-OO,SWZ-OO,CAL-OO,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,ZIM-OO,ECU-OO,NZN-OO,NZS-OO","2,4,6,5,8,3","24,27,26,41,63,50,51,83,36","ETH,,ZIM,HAW,NSW,QLD,SOA,VIC,WAU,CLM",""
Acacia dodonaeifolia,established,5,50,SOA,"",2,20,TUN,TUN-OO,"","","",""
Acacia elata,invasive,5,50,NSW,",NSW-NS","5,2,7","50,51,27,76,26","VIC,WAU,5,SWZ,CAL,CPP,TVL,NAT,ZIM,NZN,NZS","VIC-OO,WAU-WA,000-05,SWZ-OO,CAL-OO,CPP-EC,TVL-GA,NAT-OO,TVL-MP,CPP-WC,ZIM-OO,NZN-OO,NZS-OO",2,27,SWZ,""
Acacia elongata,established,5,50,NSW,",NSW-NS",5,50,VIC,VIC-OO,"","","",""
Acacia extensa,established,5,50,WAU,",WAU-WA",5,50,VIC,VIC-OO,"","","",""
Acacia fimbriata,established,5,50,"NSW,QLD",",NSW-NS,QLD-QU","5,2","50,22,27","SOA,VIC,IVO,CPP","SOA-OO,VIC-OO,IVO-OO,CPP-EC","","","",""
Acacia floribunda,established,5,50,"NSW,QLD,VIC",",NSW-NS,QLD-QU","5,8","50,51,83","SOA,TAS,WAU,5,BOL,NZN","SOA-OO,TAS-OO,WAU-WA,000-05,BOL-OO,NZN-OO","","","",""
Acacia heterophylla,established,2,29,"MAU,REU","",2,29,MDG,MDG-OO,"","","",""
Acacia holosericea,established,5,50,"NTA,QLD,WAU",",QLD-QU,WAU-WA","2,8,4","22,84,42","BKN,BZE,BZL,PHI","BKN-OO,BZE-BA,BZL-ES,PHI-OO","","","",""
Acacia howittii,established,5,50,VIC,"",5,50,TAS,TAS-OO,"","","",""
Acacia implexa,established,5,50,"NSW,QLD,TAS,VIC",",NSW-NS,QLD-QU",2,27,CPP,CPP-WC,"","","",""
Acacia iteaphylla,established,5,50,SOA,"",5,50,"NSW,VIC,WAU","NSW-NS,VIC-OO,WAU-WA","","","",""
Acacia ligulata,established,5,50,"NTA,QLD,SOA,VIC,WAU",",QLD-QU,WAU-WA",3,34,CYP,CYP-OO,"","","",""
Acacia longifolia,invasive,5,50,"NSW,VIC,,SOA",",NSW-NS","8,5,1,2,7,0","85,50,84,12,13,27,51,21,28,76,102,83","AGE,SOA,WAU,BZC,BZE,BZS,SPA,FRA,ITA,LES,5,MDR,POR,ASC,STH,SWZ,URU,CAL,CPP,TVL,NAT,28,AZO,BOL,NZN,NZS","AGE-BA,SOA-OO,WAU-WA,BZC-DF,BZE-PB,BZS-PR,BZS-RS,BZS-SC,SPA-SP,FRA-FR,ITA-IT,LES-OO,000-05,MDR-OO,POR-OO,ASC-OO,STH-OO,SWZ-OO,URU-OO,CAL-OO,CPP-EC,TVL-GA,NAT-OO,TVL-NP,TVL-MP,CPP-NC,CPP-WC,000-29,AZO-OO,BOL-OO,NZN-OO,NZS-OO","2,1,5,8,3,7","27,12,50,51,85,84,38",",POR,SPA,WAU,JAP",""
Acacia mangium,invasive,"4,5","42,43,50,41","MOL,NWG,QLD,",",QLD-QU,NWG-IJ,NWG-PN","5,8,6,2,4","50,80,84,61,60,83,81,23,22,82,62,41,29,42,63","NTA,BLZ,BZN,BZE,BZL,BZS,COO,TOK,CLM,CUB,DOM,GAB,GHA,FRG,MRN,LAO,MDG,PHI,PUE,MLY,THA,HAW","NTA-OO,BLZ-OO,BZN-AM,BZN-AP,BZE-BA,BZL-ES,BZE-MA,BZE-PE,BZE-PI,BZL-RJ,BZN-RM,BZS-SC,COO-OO,TOK-MA,CLM-OO,CUB-OO,DOM-OO,GAB-OO,GHA-OO,FRG-OO,MRN-GU,LAO-OO,MDG-OO,PHI-OO,PUE-OO,MLY-SI,THA-OO,HAW-HI","2,4,8,6,5","29,25,40,42,81,63,60,50,61,62,84,82,41,22","COM,TAN,BAN,MLY,BOR,DOM,HAW,SAM,NTA,WAU,COO,CRL,MRN,,BZN,BZE,FRG,GUY,MDG,SIE,SUR",",COM-MA,BOR-SB,MLY-SI,SAM-AS,CRL-MF,MRN-NM,CRL-PA,BZN-AP,BZE-MA,BZN-RM"
Acacia mearnsii,invasive,5,50,"NSW,SOA,TAS,VIC,",",NSW-NS","5,2,8,3,1,4,7,6,0","50,23,84,36,21,12,24,40,25,29,26,51,42,28,27,38,85,76,63,102,83,22,81,61,60,62,79,41,78,77","WAU,BUR,BZE,BZS,BZL,CHS,CHC,ZAI,CVI,SPA,ETH,IND,SAR,KEN,MDG,MOZ,5,PHI,MDR,POR,RWA,STH,SWZ,TAI,TAN,UGA,URU,CAL,HAW,CPP,OFS,TVL,NAT,ZIM,28,REU,ECU,BOL,NZN,NZS,ANG,NSW,NTA,QLD,BKN,BAH,BZC,BZN,CKI,CHH,COO,XMS,FIJ,GHA,MRN,EHM,ASS,WHM,4,MXI,NWC,PUE,MLY,THA,TON,ARI,FLA,TEX","WAU-WA,BUR-OO,BZE-PB,BZS-PR,BZS-RS,BZS-SC,BZL-SP,CHS-ZJ,CHS-FJ,CHS-GD,CHS-GX,CHC-SC,CHC-YN,ZAI-OO,CVI-OO,SPA-SP,ETH-OO,IND-GU,IND-KT,IND-KE,IND-MR,IND-TN,SAR-OO,KEN-OO,MDG-OO,MOZ-OO,000-05,PHI-OO,MDR-OO,POR-OO,RWA-OO,STH-OO,SWZ-OO,TAI-OO,TAN-OO,UGA-OO,URU-OO,CAL-OO,HAW-HI,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,ZIM-OO,000-29,REU-OO,ECU-OO,BOL-OO,NZN-OO,NZS-OO,ANG-OO,NSW-NS,NTA-OO,QLD-QU,BKN-OO,BAH-OO,BZE-AL,BZE-BA,BZC-DF,BZL-ES,BZC-GO,BZL-MG,BZC-MS,BZC-MT,BZN-PA,BZE-PE,BZL-RJ,BZE-SE,CKI-OO,CHH-OO,CHS-HK,COO-OO,XMS-OO,FIJ-OO,GHA-OO,MRN-GU,IND-AP,EHM-AP,ASS-AS,IND-BI,IND-CH,IND-CT,IND-DE,IND-GO,IND-HA,WHM-HP,WHM-JK,IND-JK,ASS-MA,IND-MP,ASS-ME,ASS-MI,ASS-NA,IND-OR,000-09,IND-PU,IND-RA,EHM-SI,ASS-TR,WHM-UT,IND-UP,IND-WB,000-04,MXI-RG,MRN-NM,NWC-OO,PUE-OO,MLY-SI,THA-OO,TON-OO,ARI-OO,FLA-OO,TEX-OO","2,3,4,1,7,6,5,8","20,23,27,24,25,26,29,36,40,12,21,76,63,51,84,85,41,13,38,","ALG,BUR,SWZ,ETH,KEN,MLW,NAM,RWA,SEY,,TAN,UGA,ZIM,CHC,IND,EHM,ASS,WHM,SAR,POR,MDR,CNY,CAL,HAW,BZE,BZS,FRA,ITA,JAP,MDG,ZAM",",CHC-YN,IND-AP,EHM-AP,ASS-AS,WHM-HP,WHM-JK,ASS-MA,ASS-ME,ASS-MI,ASS-NA,EHM-SI,ASS-TR,WHM-UT,IND-WB,BZE-PB,BZS-PR"
Acacia melanoxylon,invasive,5,50,"NSW,QLD,SOA,TAS,VIC,",",NSW-NS,QLD-QU","2,5,8,1,4,7,6","26,50,23,85,83,20,21,12,24,10,40,25,29,79,51,28,27,76,63","ANG,WAU,BUR,JNF,CLC,CLS,ZAI,CLM,ALG,CNY,SPA,ETH,FRA,GRB,IND,KEN,MOR,MDG,MXC,MXG,MXT,5,MDR,POR,RWA,STH,SWZ,TAN,CAL,HAW,CPP,OFS,TVL,NAT,ZIM,AZO,ECU,BOL,NZN,NZS,PER","ANG-OO,WAU-WA,BUR-OO,JNF-OO,CLC-SA,CLC-BI,CLC-MA,CLC-LA,CLS-LL,CLC-VA,ZAI-OO,CLM-OO,ALG-OO,CNY-OO,SPA-SP,ETH-OO,FRA-FR,GRB-OO,IND-AP,IND-KE,IND-MR,IND-TN,KEN-OO,MOR-MO,MDG-OO,MXC-DF,MXC-ME,MXG-VC,MXT-YU,000-05,MDR-OO,POR-OO,RWA-OO,STH-OO,SWZ-OO,TAN-OO,CAL-OO,HAW-HI,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,CPP-WC,ZIM-OO,AZO-OO,ECU-OO,BOL-OO,NZN-OO,NZS-OO,PER-OO","2,1,7,6,5,8,4,3","25,27,26,12,,76,63,51,85,40,38,79","KEN,,TAN,ZIM,SPA,CAL,HAW,SWZ,IND,JAP,POR",""
Acacia mollifolia,established,5,50,NSW,",NSW-NS",5,50,VIC,VIC-OO,"","","",""
Acacia murrayana,established,5,50,"NSW,NTA,QLD,SOA,WAU",",NSW-NS,QLD-QU,WAU-WA",5,50,NSW,NSW-NS,"","","",""
Acacia neriifolia,established,5,50,"NSW,QLD",",NSW-NS,QLD-QU",7,79,"MXT,MXC,MXG","MXT-CI,MXC-PU,MXG-VC","","","",""
Acacia paradoxa,invasive,5,50,"NSW,QLD,SOA,VIC",",NSW-NS,QLD-QU","5,7,2","50,51,76,27","TAS,WAU,5,CAL,TVL,CPP,NZN,NZS","TAS-OO,WAU-WA,000-05,CAL-OO,TVL-GA,CPP-WC,NZN-OO,NZS-OO","5,7",51,"",""
Acacia parramattensis,established,5,50,NSW,",NSW-NS","5,6","50,51,63","NFK,5,HAW,NZN,NZS","NFK-NI,000-05,HAW-HI,NZN-OO,NZS-OO","","","",""
Acacia podalyriifolia,invasive,5,50,"NSW,QLD",",NSW-NS,QLD-QU","5,2,8,7","50,23,84,25,27,26,76,51","NSW,SOA,VIC,WAU,BUR,BZE,BZS,BZL,ZAI,KEN,LES,MOZ,RWA,SWZ,TAN,UGA,CAL,CPP,OFS,TVL,NAT,ZIM,NZN","NSW-NS,SOA-OO,VIC-OO,WAU-WA,BUR-OO,BZE-BA,BZS-PR,BZS-SC,BZL-SP,ZAI-OO,KEN-OO,LES-OO,MOZ-OO,RWA-OO,SWZ-OO,TAN-OO,UGA-OO,CAL-OO,CPP-EC,OFS-OO,TVL-GA,NAT-OO,TVL-NP,TVL-MP,TVL-NW,CPP-WC,ZIM-OO,NZN-OO",2,25,"KEN,TAN",""
Acacia pravissima,established,5,50,"NSW,VIC",",NSW-NS",5,50,TAS,TAS-OO,"","","",""
Acacia prominens,established,5,50,NSW,",NSW-NS",5,50,VIC,VIC-OO,"","","",""
Acacia pulchella var. glaberrima,established,5,50,WAU,",WAU-WA",5,50,SOA,SOA-OO,"","","",""
Acacia pycnantha,invasive,5,50,"NSW,SOA,VIC",",NSW-NS","5,1,2,6,7","50,12,24,62,76,27","NSW,TAS,WAU,SPA,ETH,MRN,POR,CAL,CPP","NSW-NS,TAS-OO,WAU-WA,SPA-SP,ETH-OO,MRN-GU,POR-OO,CAL-OO,CPP-EC,CPP-WC","1,7",12,POR,""
Acacia redolens,established,5,50,WAU,",WAU-WA",7,76,CAL,CAL-OO,"","","",""
Acacia retinodes,invasive,5,50,SOA,"","5,8,1,4,7,6,0,2","50,83,12,40,13,76,78,63,102,21","TAS,CLM,SPA,FRA,IND,ITA,SAR,POR,CAL,FLA,HAW,28,AZO,ECU,BOL","TAS-OO,CLM-OO,SPA-SP,FRA-FR,IND-TN,ITA-IT,SAR-OO,POR-OO,CAL-OO,FLA-OO,HAW-HI,000-29,AZO-OO,ECU-OO,BOL-OO",7,"","",""
Acacia rostellifera,established,5,50,WAU,",WAU-WA",5,50,VIC,VIC-OO,"","","",""
Acacia salicina,invasive,5,50,"NSW,NTA,QLD,SOA,VIC",",NSW-NS,QLD-QU","8,3,7","81,34,79","BAH,PAL,MXC,MXS","BAH-OO,PAL-IS,MXC-MO,MXS-OA","2,3","21,34","CNY,PAL",",PAL-IS"
Acacia saligna,invasive,5,50,"WAU,",",WAU-WA","2,1,5,3,7,0,8","26,13,50,34,20,21,12,24,25,27,76,35,102,83","ANG,ALB,NSW,QLD,SOA,VIC,CYP,ALG,CNY,SPA,ETH,FRA,GRC,PAL,ITA,SAR,SIC,KEN,LBY,MOR,NAM,POR,TUN,CAL,6,CPP,NAT,28,AZO,BOL","ANG-OO,ALB-OO,NSW-NS,QLD-QU,SOA-OO,VIC-OO,CYP-OO,ALG-OO,CNY-OO,SPA-SP,ETH-OO,FRA-FR,GRC-OO,PAL-IS,ITA-IT,SAR-OO,SIC-SI,KEN-OO,LBY-OO,MOR-MO,NAM-OO,POR-OO,TUN-OO,CAL-OO,000-07,CPP-EC,NAT-OO,CPP-NC,CPP-WC,000-29,AZO-OO,BOL-OO","2,3,1,5,8","20,24,27,34,12,50,85,13,51","ALG,ETH,,CYP,POR,SPA,NSW,QLD,FRA,PAL,ITA,SIC,NAM",",PAL-IS,PAL-JO,SIC-MA"
Acacia schinoides,established,5,50,NSW,",NSW-NS",5,50,VIC,VIC-OO,"","","",""
Acacia sclerosperma,invasive,5,50,WAU,",WAU-WA",3,34,PAL,PAL-IS,3,34,PAL,PAL-IS
Acacia sophorae,invasive,5,50,"NSW,QLD,SOA,TAS,VIC",",NSW-NS,QLD-QU","5,1,2","50,12,20,51","NSW,WAU,SPA,MOR,5,CTM,POR","NSW-NS,WAU-WA,SPA-SP,MOR-MO,000-05,CTM-OO,POR-OO",5,51,"",""
Acacia spectabilis,established,5,50,"NSW,QLD",",NSW-NS,QLD-QU",5,50,NSW,NSW-NS,"","","",""
Acacia stricta,established,5,50,"NSW,QLD,SOA,TAS,VIC",",NSW-NS,QLD-QU","2,5","27,51","CPP,NZN","CPP-WC,NZN-OO","","","",""
Acacia terminalis,established,5,50,"NSW,TAS,VIC",",NSW-NS",2,"21,27","MDR,CPP,TVL","MDR-OO,CPP-EC,TVL-NP,CPP-WC","","","",""
Acacia verticillata,invasive,5,50,"NSW,SOA,TAS,VIC",",NSW-NS","8,5,2,1,7","83,51,21,12,76","CLM,5,MDR,POR,CAL,NZN,NZS","CLM-OO,000-05,MDR-OO,POR-OO,CAL-OO,NZN-OO,NZS-OO",5,51,"",""
Acacia vestita,established,5,50,NSW,",NSW-NS",5,50,NSW,NSW-NS,"","","",""
Acacia victoriae,invasive,5,50,"NSW,NTA,QLD,SOA,VIC,WAU",",NSW-NS,QLD-QU,WAU-WA",3,34,PAL,PAL-IS,3,34,PAL,PAL-IS
Acacia viscidula,established,5,50,"NSW,QLD",",NSW-NS,QLD-QU",2,27,CPP,CPP-WC,"","","",""
Acacia williamsonii,established,5,50,VIC,"",5,50,NSW,NSW-NS,"","","",""
Acaciella angustissima,invasive,"8,7","85,76,78,80,83,79,74,77,82,","AGW,ARI,ARK,BLZ,BOL,CAL,CLM,COS,ECU,ELS,FLA,GUA,HON,KTY,LOU,MXC,MXG,MXE,MXN,MXT,MXS,MSO,NEB,NWM,NIC,OKL,PAN,PER,TEX,VEN,,KAN","","5,7","50,76,77","QLD,ARI,TEX","QLD-QU,ARI-OO,TEX-OO","4,5","42,41,50,43","PHI,THA,,QLD,NWG",",NWG-PN"
Acaciella glauca,invasive,"8,7","80,83,81,79,82","BLZ,CLM,COS,ELS,GUA,LEE,MXG,MXE,MXT,MXS,NLA,NIC,PAN,VEN,WIN,JAM,",",LEE-AG,WIN-BA,NLA-CU,LEE-GU,WIN-MA,LEE-MO,WIN-SV","5,6,4","50,61,42","QLD,COO,PHI","QLD-QU,COO-OO,PHI-OO","2,4,5,6","29,41,42,50,61","MAU,,JAW,PHI,THA,QLD,COO",""
Acaciella villosa,established,"8,7","80,83,81,79,82","BLZ,CLM,COS,ECU,ELS,GUA,HON,JAM,MXC,MXG,MXE,MXN,MXT,MXS,NIC,PAN,PER,VEN","",4,42,2,000-02,"","","",""
Acaena agnipila,invasive,5,50,"NSW,QLD,SOA,TAS,WAU",",NSW-NS,QLD-QU,WAU-WA",5,"50,51","WAU,5,NZN,NZS","WAU-WA,000-05,NZN-OO,NZS-OO",5,51,"",""
Acaena anserinifolia,established,5,51,"CTM,NZN,NZS","","1,5","10,51","GRB,IRE,ATP","GRB-OO,IRE-NI,IRE-IR,ATP-OO","","","",""
Acaena argentea,invasive,8,"85,83","AGS,CLC,ECU,PER","",8,85,JNF,JNF-OO,8,85,"",""
Acaena echinata,established,5,50,"NSW,SOA,TAS,VIC,WAU",",NSW-NS,WAU-WA",5,"50,51","WAU,NZS","WAU-WA,NZS-OO","","","",""
Acaena inermis,established,5,51,"NZN,NZS","",1,10,GRB,GRB-OO,"","","",""
Acaena novae-zelandiae,invasive,"5,4","51,43,50","ATP,CTM,NWG,NSW,NZN,NZS,QLD,SOA,TAS,WAU",",NSW-NS,QLD-QU,WAU-WA","5,1,7","50,10,76,73","WAU,GRB,IRE,CAL,ORE","WAU-WA,GRB-OO,IRE-NI,IRE-IR,CAL-OO,ORE-OO",7,"","",""
Acaena ovalifolia,established,"8,9","85,83,90","AGE,AGW,AGS,BOL,CLC,CLM,ECU,FAL,JNF,PER","","8,1","85,10","JNF,GRB,IRE","JNF-OO,GRB-OO,IRE-NI,IRE-IR","","","",""
Acaena pallida,established,5,51,"NZN,NZS","",7,76,CAL,CAL-OO,"","","",""
Acalypha alopecuroidea,established,"8,7","81,80,83,79,82","BAH,BLZ,BER,CAY,CLM,COS,CUB,DOM,ECU,ELS,HAI,HON,MXG,MXE,MXN,MXT,MXS,NIC,PAN,PER,PUE,TRT,VEN,WIN",",HAI-HA","3,7","38,78","TAI,FLA,ALA,LOU","TAI-OO,FLA-OO,ALA-OO,LOU-OO","","","",""
Acalypha amentacea,established,"4,6","42,62,43","BOR,CRL,MOL,NWG,PHI,SUL","","4,8,6,7","40,81,61,78","SRL,PUE,SCI,FLA","SRL-OO,PUE-OO,SCI-OO,FLA-OO","","","",""
Acalypha australis,established,"3,4","36,40,38,41,42,31","CHN,CHC,CHS,EHM,CHH,CHI,JAP,KOR,LAO,CHM,NNS,PHI,PRM,CHQ,SCS,TAI,CHT,VIE","","5,3,1,7,0","50,33,13,14,75,73,102","NSW,QLD,TCS,ITA,RUC,UKR,NWJ,NWY,ORE,28","NSW-NS,QLD-QU,TCS-GR,ITA-IT,RUC-OO,UKR-UK,NWJ-OO,NWY-OO,ORE-OO,000-29,TCS-AR","","","",""
Acalypha gracilens,established,7,"78,75,74,77","ALA,ARK,CNT,DEL,WDC,FLA,GEO,ILL,INI,IOW,KTY,LOU,MAI,MRY,MAS,MSI,MSO,NWH,NWJ,NWY,NCA,OHI,OKL,PEN,RHO,SCA,TEN,TEX,VER,VRG,WVA","","3,7","38,75,74","4,MIC,OHI,WIS","000-04,MIC-OO,OHI-OO,WIS-OO","","","",""
Acalypha grandis,established,"4,6","43,60","BIS,FIJ,GIL,NWC,NWG,SAM,SOL,TON,WAL",",SAM-WS",6,60,SAM,SAM-WS,"","","",""
Acalypha herzogiana,established,8,"85,83,84","AGE,BOL,BZS,PAR","",5,50,QLD,QLD-QU,"","","",""
Acalypha hispida,established,4,43,BIS,"","2,8,6,7,4","22,23,81,60,62,79,80,42","BEN,BKN,CMN,ZAI,CAY,FIJ,GAB,GHA,MRN,MXT,MXS,MXC,MXN,MXE,MXG,NIC,PHI,PUE,RWA,LEE","BEN-OO,BKN-OO,CMN-OO,ZAI-OO,CAY-OO,FIJ-OO,GAB-OO,GHA-OO,MRN-GU,MXT-CA,MXT-CI,MXS-JA,MXS-MI,MXC-MO,MXS-NA,MXT-QR,MXN-SI,MXE-SL,MXT-TB,MXE-TA,MXG-VC,MXT-YU,MRN-NM,NIC-OO,PHI-OO,PUE-OO,RWA-OO,LEE-BV","","","",""
Acalypha indica,invasive,"4,2,3","41,26,40,27,24,36,42,25,38,43,35,23","AND,ANG,ASS,BAN,BOT,CBD,CPP,DJI,ERI,ETH,CHH,IND,JAW,KEN,NAT,LDV,LSI,MLW,MLY,MDV,MOL,MOZ,MYA,NAM,NNS,NEP,NWG,NCB,TVL,OMA,PAK,PHI,SAU,SOC,SOM,SCS,SRL,SUD,SUL,SUM,SWZ,TAI,TAN,THA,UGA,VIE,ZAM,ZAI,ZIM",",AND-AN,ASS-AS,LSI-LS","8,4,2,3,6,7","81,42,29,33,82,62,38,79","LEE,CKI,XMS,CGS,TCS,WIN,FRG,MRN,GUY,4,MXS,MXE,MXC,MXG,MAU,SEY,TAI,REU","LEE-SM,CKI-OO,XMS-OO,CGS-OO,TCS-GR,LEE-GU,WIN-GR,FRG-OO,MRN-GU,GUY-OO,000-04,WIN-SL,MXS-GR,MXE-GU,MXE-HI,MXS-JA,MXC-ME,MXS-MI,MXE-QU,MXE-SL,MXG-VC,MRN-NM,WIN-MA,MAU-OO,SEY-OO,TAI-OO,REU-OO",2,29,COM,""
Acalypha infesta,established,"8,7","83,79","BOL,CLM,ECU,MXC,MXE,PER","",7,79,"MXE,MXS,MXC","MXE-GU,MXE-HI,MXS-JA,MXC-ME,MXS-MI,MXE-QU","","","",""
Acalypha integrifolia,established,2,29,"MAU,REU","",2,29,MAU,MAU-OO,"","","",""
Acalypha lanceolata,invasive,"4,6,2,5,3","40,43,42,41,62,61,24,60,25,29,26,50,23,35,38","BAN,BIS,BOR,CBD,CRL,XMS,CKI,COO,ETH,FIJ,IND,JAW,KEN,LDV,LSI,MDG,MLW,MLY,MDV,MOL,MOZ,MYA,NWG,NTA,PHI,QLD,RWA,REU,SAM,SAU,SOL,SCS,SRL,SUD,SUL,SUM,TAI,TAN,THA,TON,UGA,VIE,WAU,ZAI",",LSI-LS,QLD-QU,SAM-WS,WAU-WA","6,4,8,2","60,42,61,82,43,29","SAM,CKI,COO,XMS,GUY,TON,29,REU","SAM-AS,CKI-OO,COO-OO,XMS-OO,GUY-OO,TON-OO,000-34,REU-OO","6,4","62,60,43","CRL,NUE,NWG","CRL-MF,,NWG-PN"
Acalypha microphylla,established,"8,7","80,79","ELS,MXC,MXN,MXT,MXS,NIC","",8,80,NIC,NIC-OO,"","","",""
Acalypha persimilis,established,"7,8","78,76,81,80,74,75,79,77","ALA,ARI,ARK,BAH,BLZ,COS,CUB,DOM,ELS,FLA,GEO,GUA,HAI,HON,ILL,INI,IOW,JAM,KAN,KTY,LEE,LOU,MXC,MXG,MXE,MXN,MXT,MXS,MSI,MSO,NEB,NWM,NIC,NCA,OHI,OKL,PUE,SCA,TEN,TEX,VRG,WVA",",HAI-HA","8,7","80,75","NIC,INI,OHI","NIC-OO,INI-OO,OHI-OO","","","",""
Acalypha poiretii,established,"8,7","85,83,84,80,79,77","AGE,AGW,BOL,BZN,BZE,BZS,BZL,BZC,GUA,HON,MXC,MXE,MXN,MXT,MXS,TEX","","2,7","29,78,75","MAU,ALA,NWJ,REU,ROD","MAU-OO,ALA-OO,NWJ-OO,REU-OO,ROD-OO","","","",""
Acalypha segetalis,established,2,"26,22,27,23,24,25","ANG,BEN,BOT,BKN,CMN,CPP,CAF,CHA,CON,ETH,OFS,GAM,GHA,GUI,IVO,KEN,NAT,MLW,MLI,MOZ,NGR,NGA,TVL,SEN,SIE,SUD,TOG,UGA,ZAM,ZAI,ZIM","",2,27,BOT,BOT-OO,"","","",""
Acalypha setosa,established,"8,7","81,80,83,79,82","BAH,BLZ,CLM,COS,CUB,DOM,ECU,GUA,HAI,HON,MXC,MXG,MXT,MXS,NIC,PUE,VEN",",HAI-HA",7,78,"ALA,FLA,GEO,LOU,MSI,SCA","ALA-OO,FLA-OO,GEO-OO,LOU-OO,MSI-OO,SCA-OO","","","",""
Acalypha virginica,invasive,7,"78,75,74,77","ALA,ARK,CNT,DEL,WDC,GEO,ILL,INI,IOW,KAN,KTY,LOU,MRY,MAS,MIC,MSI,MSO,NEB,NWH,NWJ,NWY,NCA,OHI,OKL,PEN,RHO,SCA,TEN,TEX,VRG,WVA","","1,2,7","13,11,21,75","BUL,SWI,YUG,ITA,MDR,MIC","BUL-OO,SWI-OO,YUG-CR,ITA-IT,MDR-OO,YUG-SL,MIC-OO",1,13,ITA,""
Acalypha wilkesiana,established,"4,6","43,60","BIS,FIJ,SOL,TUV,VAN","","5,6,7,8,4,2","50,62,79,80,42,21,61,29,41,25,83","QLD,MRN,MXT,MXS,MXC,MXN,MXG,NFK,NIC,PHI,MDR,SCI,SEY,THA,TAN,ROD,BOL","QLD-QU,MRN-GU,MXT-CA,MXT-CI,MXS-GR,MXC-ME,MXC-MO,MXS-NA,MXT-QR,MXN-SI,MXT-TB,MXG-VC,MXT-YU,MRN-NM,NFK-NI,NIC-OO,PHI-OO,MDR-OO,SCI-OO,SEY-OO,THA-OO,TAN-OO,ROD-OO,BOL-OO","","","",""
Acanthocephalus benthamianus,established,"3,4","34,32,40","AFG,IRN,KAZ,KGZ,PAK,TZK,TKM,UZB","",1,14,RUC,RUC-OO,"","","",""
Acanthocereus tetragonus,invasive,"8,7","81,80,83,78,79,77,82","ARU,BLZ,CLM,COS,CUB,ELS,FLA,GUA,HON,LEE,MXC,MXG,MXE,MXN,MXT,MXS,NLA,NIC,PAN,SWC,TEX,TRT,VEN,VNA,WIN","","5,6,4","50,60,42,63","QLD,NWC,PHI,HAW","QLD-QU,NWC-OO,PHI-OO,HAW-HI",6,60,NWC,""
